"term","category","use","example","status"
"PKO","Product/Output","Package Output generated by the system from the universal DB via trigger.","PKO.R01.2026-05.v001","ACTIVE"
"Universal DB","Architecture","Single canonical database designed to hold all periods, entities, facts, rules, report definitions and audit trail.","DB -> trigger -> PKO","ACTIVE"
"Trigger","Architecture","Controlled execution instruction to generate one PKO or all PKOs for a period.","RUN_PKO_R01 or RUN_ALL_PKO","ACTIVE"
"Source of Truth","Data Governance","Authoritative data source. Final source of truth must be DB, not original Excel/PDF package.","DB is source of truth for PKO generation","ACTIVE"
"Reference Artifact","Data Governance","Historical/transitional file used only to compare or reverse-engineer; not operational dependency.","main.xlsx is a reference artifact","ACTIVE"
"Definition of Done","Agile","Objective acceptance conditions that must pass before a task is considered complete.","PARSE_GATE=PASS; WRITE_ERRORS=0; Excel opens without repair warning","ACTIVE"
"Acceptance Criteria","Agile","Specific conditions a deliverable must satisfy to be accepted by the user or reviewer.","UF tolerance ±0.0001","ACTIVE"
"Backlog","Agile","Prioritized list of pending work items, defects, improvements and decisions.","CR-DB-0111B pending","ACTIVE"
"Technical Debt","Engineering","Known shortcuts, defects, brittle scripts or architecture gaps that increase future cost.","PowerShell scripts need parse gate","ACTIVE"
"Spike","Agile","Time-boxed investigation to reduce uncertainty before implementation.","Evaluate YAML vs DB report definitions","ACTIVE"
"Sprint","Scrum","Short execution cycle with defined goal and deliverables.","Sprint goal: make R1 A/B/C/D review-ready","ACTIVE"
"Product Owner","Scrum","Person accountable for product value and priority decisions.","User acts as business/product owner","ACTIVE"
"Scrum Master","Scrum","Person accountable for process discipline and impediment removal.","Can be simulated by governance checklist for now","ACTIVE"
"Increment","Scrum","Usable improvement produced during a sprint.","PKO.R01.B ready for human open-check","ACTIVE"
"Gate","Quality","Mandatory check that blocks progression if it fails.","PowerShell parse gate","ACTIVE"
"Audit Trail","Governance","Chronological evidence of changes, approvals and generated artifacts.","manifest + status + acceptance files","ACTIVE"
"Immutable Snapshot","Governance","Frozen version of data/artifacts for a period or release.","2026-05_LOCKED package snapshot","ACTIVE"
"Reopen Workflow","Governance","Controlled process to modify locked period through justification, responsibility and approval.","parallel branch with report explaining causes/actions/owners","ACTIVE"
"ETL/ELT","Data Engineering","Process for extracting, transforming/loading data into canonical DB.","Excel raw -> canonical facts/rules","ACTIVE"
"Data Contract","Data Engineering","Explicit schema/quality contract for inputs, rules and report outputs.","required fields for PKO.R01 generation","ACTIVE"
"Semantic Layer","Analytics","Business definitions/rules that sit above raw data and below reports.","calculation_rule_registry","ACTIVE"
"Lineage","Data Governance","Traceability from output cell back to DB facts/rules/source evidence.","cell audit matrix","ACTIVE"
"Regression Test","QA","Test ensuring new changes do not break previous accepted behavior.","May 2026 benchmark validation","ACTIVE"
"Human-in-the-loop","Operations","Automation performs generation/checks; human approves exceptions and final acceptance.","D1 open-check and approval","ACTIVE"
