canonical_name,canonical_path,source_path,source_sha256,canonical_sha256,role,status
R01B_REVIEW.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_REVIEW.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0145_REVIEW.csv,,a4ae179187e5d789d12ceea90e687656f0e6a765060e859c5e021c1cda9b327d,HUMAN_REVIEW_REGISTER,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
R01B_CLOSE.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_CLOSE.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0145_CLOSE.csv,,24cd4802a467d240a771733ecf05baa88df27de3885b3a7462208cefa8093d28,CLOSE_REGISTER,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
R01B_FINAL.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_FINAL.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0144_FINAL.csv,,5f06867c2cab6e7b3161419b6f91a8827ef95c4a737bd1dbf31a093ba8e7a2bb,FINAL_ARTIFACT_REGISTER,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
R01B_SUPERSEDED.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_SUPERSEDED.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0144_SUPERSEDED.csv,,e149a409eebde11a286b7f3cb9303981da8efadfc09c74736c52720f6ab34ef9,SUPERSEDED_REGISTER,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
R01B_GATE.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_GATE.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0143F_GATE.csv,,a4000d27f2423bee8f90662987f7714fb84bcef699321e33e54f9c0dbf20a5b1,FINAL_GATE,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
R01B_R26.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_R26.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0143F_R26.csv,,ab169aedcff0621a251e743bf8343d1c89adaee26d54c9d9090f7e5661dec27b,R26_VALIDATION,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
R01B_CACHE.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_CACHE.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0143F_CACHE.csv,,0368e65fd16a7019171506cb235b986d244c473f9c27c7a1cf21541793f65084,CACHE_CONFIRMATION,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
R01B_HANDOFF.md,C:\01. GitHub\CloseReport\05.DOCS\R01\canonical\R01B_HANDOFF.md,C:\01. GitHub\CloseReport\05.DOCS\REPORTS\R01B_0144_HANDOFF.md,,efd34728b187237946c896a9f66dc483f6356b93c098604c70acf448e2585870,HANDOFF,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
R01B_SIGNOFF.md,C:\01. GitHub\CloseReport\05.DOCS\R01\canonical\R01B_SIGNOFF.md,C:\01. GitHub\CloseReport\05.DOCS\REPORTS\R01B_0144_SIGNOFF.md,,6a3eece7a5513ce74ad023a952d1990aea7c5fe3aeb2613f3b65ad54a14899d4,SIGNOFF,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
R01B_REVIEW.md,C:\01. GitHub\CloseReport\05.DOCS\R01\canonical\R01B_REVIEW.md,C:\01. GitHub\CloseReport\05.DOCS\REPORTS\R01B_0145_REVIEW.md,,6a06d6e1ffe5b30f31a527ff72bb257a89370d5ba6a2d42527e458c58baa9995,REVIEW_NOTE,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
