review_id,reviewer_role,reviewer_name,review_timestamp,artifact_path,sheet,range,item,result,observation,blocking,next_action
CR-DB-0145-001,D1,USER_CONFIRMED_IN_CHAT,2026-07-11T14:29:29-04:00,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.FINAL_0143F.20260711_125534.xlsx,F.D.KUM.01,C3:AF67,Vista general,APPROVED,OK,NO,NONE
CR-DB-0145-002,D1,USER_CONFIRMED_IN_CHAT,2026-07-11T14:29:29-04:00,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.FINAL_0143F.20260711_125534.xlsx,F.D.KUM.01,C3:AF3,Encabezado UF,APPROVED,Aceptable para firma técnica; perfeccionamiento visual posterior.,NO,NONE
CR-DB-0145-003,D1,USER_CONFIRMED_IN_CHAT,2026-07-11T14:29:29-04:00,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.FINAL_0143F.20260711_125534.xlsx,F.D.KUM.01,E7:P7 and R7:AC7,Bloques 2025/2026 superiores,APPROVED,Sin diferencia material en valores o ubicación.,NO,NONE
CR-DB-0145-004,D1,USER_CONFIRMED_IN_CHAT,2026-07-11T14:29:29-04:00,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.FINAL_0143F.20260711_125534.xlsx,F.D.KUM.01,D22:P22 and R22:AC22 and AE22:AF22,Fila 22,APPROVED,Fila aceptada.,NO,NONE
CR-DB-0145-005,D1,USER_CONFIRMED_IN_CHAT,2026-07-11T14:29:29-04:00,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.FINAL_0143F.20260711_125534.xlsx,F.D.KUM.01,R26:AC26,Rango corregido FBS2,APPROVED,OK.,NO,NONE
CR-DB-0145-006,D1,USER_CONFIRMED_IN_CHAT,2026-07-11T14:29:29-04:00,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.FINAL_0143F.20260711_125534.xlsx,F.D.KUM.01,S26,Celda crítica S26,APPROVED,Confirmado valor 297.0443102116981 o visualmente equivalente/redondeado.,NO,NONE
CR-DB-0145-007,D1,USER_CONFIRMED_IN_CHAT,2026-07-11T14:29:29-04:00,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.FINAL_0143F.20260711_125534.xlsx,. F.BS2.01,H54,Dependencia interna H54,APPROVED,Calcula el mismo valor que alimenta F.D.KUM.01!S26.,NO,NONE
CR-DB-0145-008,D1,USER_CONFIRMED_IN_CHAT,2026-07-11T14:29:29-04:00,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.FINAL_0143F.20260711_125534.xlsx,F.D.KUM.01,E44:AC44 and E51:AC51,Financiamiento/base,APPROVED,Siguen aceptadas después del cambio 0143F.,NO,NONE
CR-DB-0145-009,D1,USER_CONFIRMED_IN_CHAT,2026-07-11T14:29:29-04:00,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.FINAL_0143F.20260711_125534.xlsx,F.D.KUM.01,N/A,Hojas esperadas,APPROVED,Hojas esperadas presentes en PKO final 0143F.,NO,NONE
CR-DB-0145-010,D1,USER_CONFIRMED_IN_CHAT,2026-07-11T14:29:29-04:00,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.FINAL_0143F.20260711_125534.xlsx,F.D.KUM.01,C3:AF67,Resultado humano general,APPROVED,Artefacto aprobado como base técnica corregida para firma humana.,NO,NONE
CR-DB-0145-011,D1,USER_CONFIRMED_IN_CHAT,2026-07-11T14:29:29-04:00,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.FINAL_0143F.20260711_125534.xlsx,F.D.KUM.01,C3:AF67,Perfeccionamiento visual,PENDING_NON_BLOCKING,Refinamiento visual queda para WBS posterior.,NO,TRACK_IN_BACKLOG
CR-DB-0145-012,D1,USER_CONFIRMED_IN_CHAT,2026-07-11T14:29:29-04:00,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.FINAL_0143F.20260711_125534.xlsx,F.D.KUM.01,N/A,Firma Admin,PENDING,No entregada explícitamente en esta revisión.,NO,TRACK_IN_BACKLOG
